Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q15714	TSC22D1	3734	6733	0.5545663	1.37E-12
Q9UMX5	NENF	20071	63735	0.3149159	1.37E-12
Q9H2G2	SLK	21373	29068	0.7352837	1.37E-12
Q8TCE6	DENND10	13980	18448	0.7577891	1.38E-12
Q9UBI6	GNG12	10179	32428	0.3139023	1.41E-12
Q8N4Q0	ZADH2	6786	12560	0.5403065	1.42E-12
P27338	MAOB	14848	85230	0.1742101	1.44E-12
P46940	IQGAP1	43873	140672	0.3118795	1.49E-12
Q9Y2V7	COG6	11685	18394	0.6352688	1.50E-12
Q969T9	WBP2	12961	26516	0.4888062	1.50E-12
P50452	SERPINB8	4408	10402	0.4237897	1.50E-12
P06746	POLB	19542	10742	1.8192189	1.56E-12
Q5XUX1	FBXW9	4288	1932	2.2199223	1.57E-12
Q9ULA0	DNPEP	35894	78406	0.4577965	1.67E-12
Q9BZV1	UBXN6	12873	22019	0.5846182	1.69E-12
Q96LA8	PRMT6	15648	7954	1.9673704	1.76E-12
Q5T5C0	STXBP5	21963	68971	0.3184342	1.78E-12
Q9Y2S6	TMA7	21931	11775	1.8624017	1.79E-12
Q9Y2H6	FNDC3A	14878	28409	0.5237112	1.81E-12
Q14746	COG2	10116	17078	0.5923265	1.84E-12
Q9NRL3	STRN4	11808	7987	1.4784672	1.95E-12
A6NFI3	ZNF316	4413	2506	1.7611018	1.98E-12
Q9H6Y2	WDR55	5623	3785	1.4855507	1.98E-12
P54920	NAPA	43344	71769	0.6039341	1.99E-12
Q69YQ0	SPECC1L	6791	12035	0.5643124	2.02E-12
Q15102	PAFAH1B3	321043	164250	1.9546035	2.03E-12
Q92990	GLMN	8642	5153	1.6770378	2.07E-12
Q13148	TARDBP	113805	79990	1.4227453	2.10E-12
Q13825	AUH	39522	78824	0.5013931	2.14E-12
Q6KCM7	SLC25A25	10357	19383	0.5343141	2.18E-12
Q9BQ69	MACROD1	9231	16425	0.5620446	2.19E-12
P37837	TALDO1	236609	333028	0.710479	2.22E-12
Q9P1Y5	CAMSAP3	22087	10945	2.0180524	2.24E-12
Q08379	GOLGA2	18122	28603	0.6335694	2.26E-12
Q6VMQ6	ATF7IP	4318	2305	1.8731306	2.38E-12
Q86UY8	NT5DC3	13691	32768	0.4178012	2.38E-12
O95347	SMC2	7953	3415	2.3286357	2.43E-12
O94819	KBTBD11	11318	7484	1.5122074	2.48E-12
Q86Y82	STX12	20297	45975	0.4414774	2.49E-12
P23526	AHCY	229037	171982	1.3317483	2.50E-12
O94874	UFL1	48256	87829	0.549426	2.60E-12
P09651	HNRNPA1	718914	418703	1.7170014	2.71E-12
Q32P44	EML3	6741	12911	0.5220888	2.80E-12
P60763	RAC3	15702	7089	2.2150248	2.81E-12
P19823	ITIH2	7107	185488	0.0383151	2.83E-12
O43660	PLRG1	22422	16029	1.3988964	2.86E-12
Q00796	SORD	234979	83383	2.8180662	2.85E-12
O95793	STAU1	19830	14879	1.3327192	2.96E-12
Q8NBF2	NHLRC2	31039	40568	0.7651043	3.12E-12
Q9UL40	ZNF346	10309	5653	1.8236539	3.16E-12
P30101	PDIA3	597823	1020029	0.586084	3.28E-12
Q96C01	FAM136A	22416	10726	2.0898806	3.33E-12
Q96MW5	COG8	11842	18844	0.6284138	3.33E-12
O95674	CDS2	12384	23859	0.5190548	3.37E-12
Q92544	TM9SF4	28439	55047	0.516632	3.50E-12
Q13433	SLC39A6	2407	1237	1.946349	3.57E-12
Q86Y38	XYLT1	6489	2557	2.5379237	3.57E-12
Q08623	PUDP	10881	6504	1.6729824	3.59E-12
O76094	SRP72	27532	40265	0.6837598	3.89E-12
Q8IVH2	FOXP4	8971	6360	1.4104807	3.92E-12
P06396	GSN	56070	655628	0.0855205	4.04E-12
P56817	BACE1	8206	4134	1.9850217	4.20E-12
O43707	ACTN4	129014	208597	0.6184859	4.30E-12
Q9C002	NMES1	6008	27964	0.2148615	4.44E-12
P78347	GTF2I	66068	39249	1.6833222	4.48E-12
Q9H2P0	ADNP	28188	15415	1.8286108	4.57E-12
Q5T3F8	TMEM63B	5701	3453	1.6507722	4.57E-12
Q969V3	NCLN	45316	77505	0.5846875	4.74E-12
P31937	HIBADH	35494	111495	0.3183431	4.81E-12
Q7Z460	CLASP1	16000	11158	1.4340258	4.88E-12
P07237	P4HB	436002	734166	0.5938749	4.97E-12
Q6SZW1	SARM1	48135	22643	2.1258191	4.98E-12
Q92604	LPGAT1	4633	8581	0.5398593	5.15E-12
P48444	ARCN1	88700	140761	0.6301447	5.16E-12
Q96FV9	THOC1	19316	13527	1.4279952	5.19E-12
Q96RQ3	MCCC1	18105	33756	0.5363571	5.18E-12
Q96GY0	ZC2HC1A	12631	7817	1.6158456	5.21E-12
Q96KM6	ZNF512B	4207	2198	1.9143577	5.27E-12
P00441	SOD1	96467	183067	0.5269463	5.26E-12
O75648	TRMU	3813	9097	0.4191552	5.28E-12
O43809	NUDT21	104534	69563	1.5027306	5.35E-12
Q5VWJ9	SNX30	5108	2660	1.9203106	5.38E-12
Q5VTQ0	TTC39B	3807	12075	0.3152794	5.38E-12
Q13907	IDI1	74347	22296	3.33459	5.39E-12
P09874	PARP1	152457	84358	1.8072724	5.38E-12
Q96RK4	BBS4	3160	5752	0.5493048	5.46E-12
Q96HS1	PGAM5	33413	23967	1.3940972	5.50E-12
Q14249	ENDOG	22355	6316	3.5396219	5.63E-12
Q9NRA0	SPHK2	1912	768	2.4889772	5.75E-12
Q8WZ74	CTTNBP2	3384	1786	1.8949757	5.76E-12
P46777	RPL5	115097	147146	0.7821977	5.79E-12
O15533	TAPBP	6753	37728	0.1790022	5.88E-12
Q99614	TTC1	14634	19875	0.7362937	5.88E-12
P07602	PSAP	35595	141241	0.2520174	6.03E-12
O00400	SLC33A1	9299	20388	0.4560989	6.24E-12
P28161	GSTM2	465414	291696	1.5955458	6.29E-12
Q3SY17	SLC25A52	3981	8075	0.4930611	6.35E-12
Q01968	OCRL	21787	39322	0.5540564	6.39E-12
Q7Z7B1	PIGW	3232	8900	0.3631015	6.40E-12
O43159	RRP8	5052	3629	1.3920005	6.45E-12
Q8WWW0	RASSF5	2296	6115	0.3753854	6.48E-12
Q08378	GOLGA3	10534	16751	0.6288859	6.53E-12
P13489	RNH1	87525	129459	0.6760831	6.55E-12
Q08AI8	MAB21L4	9218	3716	2.4807605	6.65E-12
Q9BS26	ERP44	96545	163493	0.5905154	6.85E-12
Q9NP80	PNPLA8	9837	18091	0.5437707	7.01E-12
Q8IYS2	KIAA2013	15281	29533	0.5174116	7.01E-12
Q9BRX8	PRXL2A	29305	16745	1.7501053	7.16E-12
P28676	GCA	85165	29317	2.9049634	7.17E-12
Q9UHR4	BAIAP2L1	2224	7803	0.2850018	7.26E-12
Q9BTC0	DIDO1	12606	8736	1.4430012	7.31E-12
Q9BWF3	RBM4	47686	30661	1.5552866	7.35E-12
Q96P70	IPO9	18505	11277	1.6409611	7.39E-12
Q8NHP8	PLBD2	100321	32130	3.1223534	7.44E-12
Q92541	RTF1	21221	12911	1.6436827	7.45E-12
Q6H8Q1	ABLIM2	2155	8943	0.2410109	7.53E-12
P49903	SEPHS1	19584	13394	1.4620879	7.57E-12
O00505	KPNA3	29141	20591	1.4152531	7.60E-12
Q8TE02	ELP5	2493	4469	0.5577556	7.62E-12
P54289	CACNA2D1	66552	20949	3.1768884	7.87E-12
Q96CM8	ACSF2	10721	4337	2.4720396	8.02E-12
P13497	BMP1	3396	1619	2.0977389	8.02E-12
Q96GQ5	RUSF1	40873	75935	0.5382709	8.04E-12
Q9NYL4	FKBP11	15077	77406	0.1947741	8.09E-12
Q12906	ILF3	182807	120683	1.514774	8.34E-12
Q9BUE6	ISCA1	12314	20186	0.6100238	8.34E-12
Q9BWD1	ACAT2	61902	13308	4.6514522	8.72E-12
P15848	ARSB	34348	11303	3.0387089	8.76E-12
Q14671	PUM1	20797	15574	1.3354129	8.95E-12
Q8IVJ1	SLC41A1	8219	14596	0.5630963	8.96E-12
O94925	GLS	28431	88905	0.3197961	9.01E-12
Q71UM5	RPS27L	17823	25450	0.7003281	9.55E-12
Q9BY49	PECR	17056	4232	4.0301598	9.59E-12
Q99470	SDF2	5671	2011	2.8206124	9.64E-12
P20073	ANXA7	105300	191502	0.5498637	9.63E-12
P55884	EIF3B	69729	79950	0.8721629	9.90E-12
Q9NRY5	FAM114A2	13499	24325	0.5549485	9.93E-12
Q9NVD7	PARVA	12798	25514	0.5016341	1.02E-11
Q9P2E9	RRBP1	83256	158959	0.523758	1.04E-11
Q05655	PRKCD	89158	45300	1.9681788	1.06E-11
Q9UG63	ABCF2	8071	11566	0.6977979	1.09E-11
P0CG40	SP9	3775	916	4.1197511	1.09E-11
P51689	ARSD	2315	4912	0.4712757	1.12E-11
P26885	FKBP2	83490	184154	0.4533711	1.14E-11
Q92947	GCDH	25266	44207	0.5715457	1.16E-11
P09467	FBP1	5540	26922	0.2057806	1.17E-11
Q6P2E9	EDC4	32781	24103	1.3600186	1.19E-11
P61018	RAB4B	14474	29833	0.4851694	1.21E-11
P26440	IVD	52695	98502	0.5349686	1.21E-11
Q9Y624	F11R	14599	26825	0.5442169	1.22E-11
Q6IN85	PPP4R3A	18597	13742	1.3533479	1.21E-11
P08183	ABCB1	5738	17187	0.3338651	1.23E-11
Q12905	ILF2	230526	151779	1.518827	1.26E-11
Q15005	SPCS2	95267	145865	0.6531133	1.27E-11
P14209	CD99	32055	76713	0.4178554	1.30E-11
Q6P4E1	GOLM2	25248	60725	0.4157707	1.30E-11
Q9NYR9	NKIRAS2	7551	4963	1.5213343	1.32E-11
Q9UPY6	WASF3	6875	2718	2.5294407	1.32E-11
P68106	FKBP1B	8277	3567	2.320628	1.37E-11
Q9P0U4	CXXC1	3499	2152	1.6255842	1.38E-11
Q2NKQ1	SGSM1	5054	13948	0.3623326	1.38E-11
Q9HBE1	PATZ1	3144	1617	1.9440514	1.39E-11
Q2TAL8	QRICH1	15259	11317	1.348363	1.41E-11
P41091	EIF2S3	37408	47099	0.7942426	1.43E-11
O60518	RANBP6	12638	21367	0.5914542	1.43E-11
Q9ULX6	AKAP8L	9835	5663	1.7366365	1.43E-11
Q08431	MFGE8	23955	10816	2.2148108	1.44E-11
P51532	SMARCA4	21182	7162	2.9574721	1.45E-11
Q16658	FSCN1	171825	34363	5.0003718	1.46E-11
Q9BPY3	FAM118B	3422	2115	1.6178905	1.47E-11
Q13347	EIF3I	50331	60201	0.8360489	1.48E-11
P45973	CBX5	35329	13547	2.6080087	1.52E-11
Q14839	CHD4	42891	24065	1.7823288	1.52E-11
Q96AG4	LRRC59	92257	137878	0.6691224	1.53E-11
Q6UW02	CYP20A1	5620	11563	0.4860527	1.53E-11
Q9Y276	BCS1L	8545	17684	0.4832063	1.53E-11
Q68DH5	LMBRD2	7186	17055	0.4213817	1.55E-11
Q9BVM4	GGACT	3635	8625	0.4214049	1.55E-11
P50851	LRBA	22492	34514	0.6516758	1.61E-11
Q01085	TIAL1	99691	69602	1.4323114	1.62E-11
Q9Y6X4	FAM169A	13559	38549	0.351741	1.62E-11
Q9P2K2	TXNDC16	5582	2849	1.9590433	1.65E-11
Q9Y6N5	SQOR	22309	98034	0.2275649	1.69E-11
P33897	ABCD1	12116	4887	2.4793515	1.71E-11
Q96CV9	OPTN	5182	10479	0.4945187	1.72E-11
P14324	FDPS	72896	43133	1.6900465	1.75E-11
Q17R31	TATDN3	4741	10181	0.465713	1.76E-11
P31751	AKT2	5385	3648	1.4761106	1.80E-11
Q13439	GOLGA4	9307	17051	0.5458241	1.80E-11
P78417	GSTO1	95032	296686	0.3203108	1.83E-11
P27544	CERS1	1452	527	2.754679	1.82E-11
P27695	APEX1	167830	86978	1.9295787	1.83E-11
P26572	MGAT1	6064	13655	0.4440572	1.85E-11
Q13263	TRIM28	168981	86382	1.9562072	1.91E-11
Q13464	ROCK1	17734	10518	1.6860603	1.92E-11
P21359	NF1	7649	11791	0.6486688	1.93E-11
O94979	SEC31A	89187	131671	0.6773483	1.95E-11
P48163	ME1	17824	53160	0.3352818	1.95E-11
P49593	PPM1F	7916	11349	0.6974917	1.96E-11
O43760	SYNGR2	46173	101553	0.454668	1.97E-11
P49356	FNTB	14765	9639	1.5317651	1.99E-11
Q5R3I4	TTC38	42576	21101	2.0177038	2.04E-11
P00352	ALDH1A1	585115	1369691	0.4271878	2.05E-11
O60658	PDE8A	502	1311	0.3829597	2.07E-11
Q709C8	VPS13C	20695	37078	0.5581565	2.17E-11
Q6ZXV5	TMTC3	15037	9297	1.6173254	2.20E-11
Q92769	HDAC2	19503	9686	2.0135449	2.33E-11
P17812	CTPS1	39583	13781	2.8721951	2.33E-11
P20700	LMNB1	352739	143248	2.4624292	2.36E-11
P28370	SMARCA1	27429	18975	1.4455859	2.44E-11
Q8IW45	NAXD	23459	43333	0.5413658	2.46E-11
P78381	SLC35A2	4425	11041	0.4008167	2.47E-11
Q5JRX3	PITRM1	20720	31997	0.6475648	2.48E-11
P02788	LTF	24552	672433	0.0365122	2.49E-11
Q13885	TUBB2A	257708	108832	2.3679453	2.49E-11
Q9UI14	RABAC1	4517	9868	0.4577446	2.49E-11
Q8N163	CCAR2	74529	46733	1.594776	2.53E-11
P17096	HMGA1	38588	9510	4.0576313	2.56E-11
Q9UPT6	MAPK8IP3	3341	1055	3.1665969	2.57E-11
Q05048	CSTF1	28960	19000	1.5242139	2.62E-11
Q9H5H4	ZNF768	9524	3212	2.9655573	2.63E-11
Q5SQI0	ATAT1	13033	4392	2.9675736	2.64E-11
P61204	ARF3	411659	645131	0.6381016	2.68E-11
P45983	MAPK8	6735	4339	1.5523657	2.69E-11
P28062	PSMB8	7783	32911	0.2364953	2.76E-11
P52888	THOP1	27015	18800	1.4369625	2.77E-11
Q9NQ29	LUC7L	15558	7336	2.1206267	2.89E-11
O00139	KIF2A	26465	15743	1.6811101	2.89E-11
Q15599	SLC9A3R2	2508	11930	0.210214	2.91E-11
Q969E4	TCEAL3	6451	18470	0.3492563	2.93E-11
P49736	MCM2	24808	2631	9.4294148	2.95E-11
O76062	TM7SF2	62398	27543	2.2654591	2.97E-11
O94811	TPPP	12277	26784	0.4583645	3.03E-11
Q8NBM4	UBAC2	2677	1429	1.8732794	3.12E-11
P49257	LMAN1	92316	155060	0.5953601	3.16E-11
Q8WTW3	COG1	12860	21335	0.6027614	3.24E-11
Q92997	DVL3	9937	7966	1.2473446	3.25E-11
Q9UJY5	GGA1	10383	13137	0.7903215	3.27E-11
O60504	SORBS3	5910	18092	0.3266575	3.36E-11
Q9HA65	TBC1D17	11742	18109	0.6483772	3.42E-11
Q9Y237	PIN4	15571	7433	2.094765	3.61E-11
Q9UHB9	SRP68	35785	52077	0.687152	3.65E-11
Q8IWA4	MFN1	8627	14240	0.6058534	3.70E-11
Q6PCE3	PGM2L1	39201	19674	1.9924708	3.70E-11
Q8WWM9	CYGB	2933	9859	0.2974925	3.77E-11
Q15582	TGFBI	4626	26657	0.1735494	3.77E-11
O00142	TK2	11087	30939	0.3583596	3.82E-11
P29401	TKT	340725	539417	0.6316552	3.82E-11
P18887	XRCC1	24342	13657	1.7823351	3.86E-11
Q6P9B6	MEAK7	17345	8710	1.991339	3.86E-11
O00422	SAP18	23533	16537	1.4230271	3.91E-11
Q9H9P8	L2HGDH	15264	21617	0.7061373	3.97E-11
Q5JPE7	NOMO2	48604	71280	0.6818737	4.05E-11
O95372	LYPLA2	92881	48937	1.8979753	4.07E-11
Q6ZNJ1	NBEAL2	8465	3734	2.267166	4.11E-11
Q9NUT2	ABCB8	5464	11605	0.4708454	4.12E-11
Q9BWS9	CHID1	22123	35302	0.6266836	4.16E-11
Q9BQT9	CLSTN3	3636	1105	3.2905298	4.26E-11
P48637	GSS	51462	77106	0.6674213	4.26E-11
Q0IIM8	TBC1D8B	3394	8351	0.4064398	4.27E-11
Q8WWY3	PRPF31	35701	29829	1.1968322	4.28E-11
P46020	PHKA1	6140	3880	1.5826941	4.30E-11
P12821	ACE	6370	13396	0.4754993	4.38E-11
O95571	ETHE1	20512	34668	0.5916863	4.43E-11
P51797	CLCN6	7100	3806	1.8654836	4.56E-11
Q9HCK8	CHD8	5495	2785	1.9730452	4.55E-11
P32189	GK	10329	16518	0.6253336	4.57E-11
Q96GZ6	SLC41A3	1528	3253	0.4696316	4.57E-11
Q5T7W0	ZNF618	11457	6557	1.7472345	4.59E-11
P55210	CASP7	6657	11037	0.6031611	4.58E-11
Q9Y6M9	NDUFB9	35251	53355	0.6606839	4.66E-11
Q96PU4	UHRF2	6461	3457	1.868871	4.73E-11
P35080	PFN2	266236	380970	0.6988366	4.77E-11
Q5W111	SPRYD7	6033	13079	0.4612511	4.79E-11
P31483	TIA1	20555	10921	1.8820696	4.85E-11
P33991	MCM4	10305	1496	6.8892365	4.90E-11
Q14257	RCN2	11800	3016	3.9126839	4.91E-11
O00592	PODXL	14368	51845	0.277127	4.95E-11
O14683	TP53I11	17267	7333	2.3548008	5.12E-11
Q13509	TUBB3	424144	121189	3.4998592	5.13E-11
P16930	FAH	21144	43078	0.490834	5.20E-11
P60953	CDC42	78315	101977	0.7679661	5.21E-11
P02753	RBP4	6806	130629	0.0521041	5.24E-11
Q05682	CALD1	16621	75412	0.2204089	5.34E-11
Q96T37	RBM15	17318	12384	1.3984722	5.36E-11
Q96ME7	ZNF512	32554	17611	1.8485121	5.36E-11
Q9H3K2	GHITM	54329	83980	0.6469291	5.53E-11
Q9Y265	RUVBL1	101919	68687	1.4838263	5.91E-11
Q92841	DDX17	251085	161445	1.5552342	5.94E-11
P02545	LMNA	152592	561917	0.2715562	5.99E-11
P49916	LIG3	27731	12267	2.2607119	6.00E-11
Q9H477	RBKS	10285	19205	0.5355221	6.00E-11
P43694	GATA4	2804	358	7.8218908	6.03E-11
Q0PNE2	ELP6	1920	3413	0.5624781	6.10E-11
Q09328	MGAT5	6140	2941	2.0874018	6.17E-11
Q9Y657	SPIN1	7999	4418	1.8107275	6.21E-11
Q8NI60	COQ8A	17649	29930	0.5896792	6.28E-11
P19838	NFKB1	10266	13160	0.780062	6.35E-11
Q9BVM2	DPCD	24343	10562	2.3047936	6.37E-11
Q5T0N5	FNBP1L	20646	12632	1.6344472	6.37E-11
P62253	UBE2G1	2523	1262	1.9990562	6.37E-11
Q12824	SMARCB1	25054	15325	1.6348946	6.39E-11
O94760	DDAH1	93493	304984	0.3065508	6.40E-11
Q9BVJ7	DUSP23	24150	16085	1.5014049	6.43E-11
P50219	MNX1	6225	2320	2.6828224	6.43E-11
Q96T60	PNKP	16246	10383	1.5646716	6.42E-11
P01033	TIMP1	36095	129912	0.2778393	6.41E-11
P23458	JAK1	4058	9327	0.4350996	6.42E-11
Q9Y2S2	CRYL1	13428	49638	0.2705104	6.42E-11
Q8NHP6	MOSPD2	11258	4396	2.5610176	6.64E-11
O14579	COPE	41406	65779	0.6294675	6.72E-11
Q9UBM7	DHCR7	83188	32968	2.5232929	6.81E-11
Q9BZL4	PPP1R12C	5877	10822	0.5430163	6.86E-11
Q12931	TRAP1	86730	68523	1.2657023	6.87E-11
O75177	SS18L1	6146	2105	2.9200091	6.90E-11
Q9HAV7	GRPEL1	25913	49736	0.5209994	6.90E-11
Q15120	PDK3	20865	46931	0.4445922	7.03E-11
P43304	GPD2	42181	91818	0.4593929	7.11E-11
P21741	MDK	13248	2219	5.9711069	7.34E-11
P09110	ACAA1	23590	12471	1.8916194	7.51E-11
Q5SWX8	ODR4	10696	20629	0.518481	7.54E-11
Q6IQ22	RAB12	19030	35382	0.5378547	7.58E-11
Q9BQS8	FYCO1	4610	10842	0.4251528	7.67E-11
Q04724	TLE1	17168	11645	1.4742905	7.92E-11
O75607	NPM3	5290	2556	2.0701014	7.92E-11
P51114	FXR1	75285	61243	1.2292897	7.99E-11
Q6ZU35	CRACD	3030	1575	1.9239989	8.19E-11
Q9NZC7	WWOX	4589	7418	0.6187072	8.37E-11
P01111	NRAS	17532	8985	1.9512847	8.39E-11
O15021	MAST4	5322	7852	0.6778449	8.41E-11
P61916	NPC2	21578	12428	1.7362801	8.40E-11
Q9HCE3	ZNF532	605	174	3.4710785	8.46E-11
P54198	HIRA	7239	4876	1.4847397	8.48E-11
P53618	COPB1	55473	82826	0.6697489	8.51E-11
Q8IWJ2	GCC2	23646	34942	0.6767239	8.52E-11
P80404	ABAT	57533	207667	0.2770468	8.52E-11
Q9P291	ARMCX1	9516	18159	0.5240302	8.51E-11
Q9UKK3	PARP4	3570	8334	0.4283319	8.61E-11
Q8N392	ARHGAP18	25165	14899	1.689003	8.61E-11
P35579	MYH9	127471	316769	0.4024089	8.61E-11
Q13630	GFUS	48741	75354	0.6468249	9.02E-11
O15164	TRIM24	8623	3470	2.4852366	9.09E-11
Q8NDT2	RBM15B	10229	6358	1.6088614	9.25E-11
Q15233	NONO	324218	214759	1.5096884	9.35E-11
Q9H3K6	BOLA2	42452	29974	1.4162933	9.47E-11
Q15643	TRIP11	7417	13707	0.5411242	9.47E-11
P04216	THY1	5460	27879	0.1958307	9.48E-11
Q8IV08	PLD3	496385	181971	2.7278229	9.92E-11
Q8WYA6	CTNNBL1	33114	23518	1.4080022	9.94E-11
P45974	USP5	106635	85502	1.2471621	9.97E-11
Q9Y5Q8	GTF3C5	15832	10263	1.5425801	1.02E-10
Q9P2X3	IMPACT	5882	10023	0.5868223	1.03E-10
Q9UHD2	TBK1	7957	12678	0.6276341	1.04E-10
P20042	EIF2S2	30106	39357	0.7649485	1.04E-10
P51580	TPMT	11322	16585	0.6827016	1.06E-10
Q9NUY8	TBC1D23	15748	25032	0.6291323	1.06E-10
O75063	FAM20B	11060	17330	0.6382199	1.07E-10
Q5QJ74	TBCEL	5735	3419	1.6773747	1.09E-10
Q9UPY3	DICER1	17557	9870	1.77892	1.11E-10
Q9UL25	RAB21	55850	85842	0.6506059	1.12E-10
Q9UKV5	AMFR	4632	7531	0.6150023	1.13E-10
P49674	CSNK1E	11343	5625	2.0165407	1.13E-10
Q9BWH2	FUNDC2	16499	40634	0.4060381	1.15E-10
P20823	HNF1A	2856	1898	1.5049319	1.17E-10
Q17R89	ARHGAP44	3769	6123	0.6154608	1.19E-10
Q9UPT9	USP22	2348	1056	2.2248323	1.20E-10
Q14739	LBR	71868	26377	2.7246697	1.20E-10
P49914	MTHFS	20166	35906	0.5616347	1.21E-10
P55327	TPD52	52230	149884	0.3484693	1.25E-10
P46199	MTIF2	5019	8725	0.5752603	1.25E-10
Q9HCC0	MCCC2	27000	43294	0.6236458	1.26E-10
P19174	PLCG1	10694	4491	2.381144	1.26E-10
Q8WZ82	OVCA2	3528	2281	1.5463104	1.28E-10
P25205	MCM3	22789	2892	7.8811605	1.30E-10
P35606	COPB2	165529	242786	0.6817882	1.30E-10
A6NDG6	PGP	33791	19630	1.7213611	1.34E-10
Q9Y5Y6	ST14	1892	8748	0.2163206	1.35E-10
Q9Y6A4	CFAP20	21243	14680	1.4470736	1.35E-10
Q07666	KHDRBS1	194853	113939	1.710149	1.36E-10
O95210	STBD1	13892	27719	0.5011836	1.38E-10
Q96Q05	TRAPPC9	15684	20126	0.7792911	1.38E-10
Q8TCS8	PNPT1	37031	49667	0.7455795	1.38E-10
Q8NHG8	ZNRF2	7852	16048	0.4892425	1.41E-10
Q9H8Y8	GORASP2	35214	63607	0.5536206	1.41E-10
Q96CB9	NSUN4	4965	7243	0.685477	1.43E-10
Q99442	SEC62	17988	25890	0.6948137	1.48E-10
P00966	ASS1	159412	52456	3.0389954	1.48E-10
P61011	SRP54	34474	45889	0.7512592	1.48E-10
Q56VL3	OCIAD2	63762	31157	2.046448	1.50E-10
P11117	ACP2	77703	38863	1.9994297	1.50E-10
Q9HCJ6	VAT1L	19263	57276	0.3363185	1.51E-10
Q8TDB6	DTX3L	8418	12568	0.6697539	1.51E-10
Q8N5C6	SRBD1	7723	13787	0.5601583	1.52E-10
Q567U6	CCDC93	11832	16914	0.6995106	1.52E-10
Q9H9A6	LRRC40	18978	10984	1.7278246	1.52E-10
O75044	SRGAP2	5187	11752	0.441382	1.63E-10
Q9BUJ2	HNRNPUL1	83135	58207	1.4282551	1.63E-10
Q9H008	LHPP	26784	55340	0.4839831	1.66E-10
P0CG12	DERPC	8300	15121	0.5489316	1.65E-10
Q92805	GOLGA1	4340	6098	0.7116706	1.68E-10
P50552	VASP	32045	48767	0.6571071	1.70E-10
P18085	ARF4	127505	195893	0.6508908	1.71E-10
Q9P0L0	VAPA	82022	120056	0.6831985	1.75E-10
Q16799	RTN1	44054	103859	0.4241714	1.77E-10
Q969Q5	RAB24	9722	14492	0.6708083	1.77E-10
Q9NW07	ZNF358	2431	1036	2.3459995	1.78E-10
Q9NP61	ARFGAP3	16129	30491	0.5289792	1.79E-10
Q13505	MTX1	17226	23782	0.7243354	1.79E-10
P11137	MAP2	26917	62823	0.4284542	1.80E-10
Q9BU02	THTPA	11327	16072	0.7047619	1.80E-10
Q9H1B7	IRF2BPL	22081	12238	1.8042312	1.84E-10
Q5SY16	NOL9	10949	5612	1.9509241	1.84E-10
Q8IZQ5	SELENOH	49251	24551	2.0060586	1.84E-10
P51668	UBE2D1	18954	10052	1.885646	1.84E-10
Q9NXG6	P4HTM	19869	7984	2.4886072	1.90E-10
Q969T4	UBE2E3	11366	5019	2.26438	1.92E-10
Q9NSE4	IARS2	29793	45680	0.6522102	1.93E-10
Q8IWE5	PLEKHM2	2697	4059	0.664548	1.99E-10
Q9NPF5	DMAP1	13457	8690	1.548557	2.01E-10
Q969H8	MYDGF	45737	86092	0.5312596	2.03E-10
Q9BW04	SARG	7255	17734	0.4090874	2.08E-10
Q9NV96	TMEM30A	31793	57981	0.5483341	2.08E-10
Q16352	INA	78493	31579	2.4856384	2.11E-10
Q92925	SMARCD2	19602	14278	1.3729299	2.12E-10
P61077	UBE2D3	44338	35366	1.2536696	2.17E-10
Q16854	DGUOK	22511	43984	0.511793	2.21E-10
Q96S06	LMF1	1737	3995	0.4346751	2.22E-10
Q8NBN3	TMEM87A	4077	7807	0.5222425	2.23E-10
Q9BRP4	PAAF1	20086	12328	1.6292088	2.25E-10
P41180	CASR	11509	28803	0.399581	2.26E-10
Q5JVS0	HABP4	4282	10041	0.4264302	2.26E-10
O95983	MBD3	4350	1909	2.2783841	2.27E-10
Q6P1L5	FAM117B	2341	1164	2.0108172	2.28E-10
Q9BV20	MRI1	27615	21052	1.3117689	2.31E-10
P49419	ALDH7A1	157085	76770	2.0461646	2.32E-10
Q9H3P7	ACBD3	15530	25999	0.5973593	2.32E-10
Q8IWW6	ARHGAP12	4950	7188	0.6886499	2.32E-10
Q15036	SNX17	15369	24002	0.6403033	2.33E-10
P42224	STAT1	59601	29885	1.9943193	2.33E-10
Q96G97	BSCL2	42686	13580	3.1433882	2.34E-10
P06703	S100A6	64768	136484	0.4745454	2.35E-10
P41235	HNF4A	5523	2997	1.8426693	2.38E-10
Q9H2K8	TAOK3	6494	10947	0.5932448	2.42E-10
Q7Z5L9	IRF2BP2	9976	5487	1.8181346	2.43E-10
P54802	NAGLU	40486	13243	3.0572028	2.48E-10
Q5VZ89	DENND4C	6437	9558	0.6734432	2.54E-10
Q16762	TST	33991	21949	1.5486525	2.54E-10
Q08722	CD47	20314	44553	0.4559473	2.58E-10
Q3V6T2	CCDC88A	5887	3677	1.6012166	2.59E-10
Q9BQA1	WDR77	32458	17309	1.8751814	2.65E-10
Q96DC8	ECHDC3	10494	36210	0.2898082	2.65E-10
Q9NQ94	A1CF	50890	25358	2.0068367	2.67E-10
O95865	DDAH2	123529	41966	2.9435687	2.68E-10
P05413	FABP3	204989	6805	30.1232221	2.71E-10
Q05329	GAD2	16572	58270	0.2843998	2.75E-10
