uniprot	genesymbol	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references
Q8WXG8	S100Z	1	ligand	extracellular, intracellular, ligand, secreted	NA	NA	NA
O95813	CER1	4	ligand	extracellular, ligand, ligand_regulator, secreted	Q9UBG0	MRC2	MRC2 [CellTalkDB:32103204]
P01229	LHB	12	ligand	extracellular, intracellular, ligand, secreted	O60895, O60896, P07550, P13945, P16473, P22888, P32241, P41586, Q03431, Q99678, Q9NQS5	ADCYAP1R1, ADRB2, ADRB3, GPR20, GPR84, LHCGR, PTH1R, RAMP2, RAMP3, TSHR, VIPR1	LHCGR [CellTalkDB:1922095;Cellinker:12727981;Cellinker:1922095;Cellinker:3470775;Guide2Pharma:12727981;Guide2Pharma:1922095;HPRD:3470775;LRdb:12727981;LRdb:1922095;LRdb:3470775;SIGNOR:10446903;connectomeDB2020:12727981;connectomeDB2020:1922095;connectomeDB2020:3470775;scConnect:12727981;scConnect:1922095], PTH1R [CellTalkDB:32196115], ADCYAP1R1 [CellTalkDB:32196115], RAMP2 [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], RAMP3 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], ADRB3 [CellTalkDB:32196115], TSHR [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115]
Q16363	LAMA4	3	adhesion, ecm, ligand	adhesion, cell_surface, ecm, extracellular, intracellular, ligand, matrix_adhesion, secreted	P05556, P06756, P16070, P23229, P26006, Q14118, Q496J9, Q7L0J3, Q7L1I2	CD44, DAG1, ITGA2_ITGB1, ITGA3, ITGA3_ITGB1, ITGA6, ITGA6_ITGB1, ITGA6_ITGB4, ITGA7_ITGB1, ITGA9_ITGB1, ITGAV, ITGAV_ITGB8, ITGB1, SV2A, SV2B, SV2C	ITGA6 [CellTalkDB:32196115], ITGAV [CellTalkDB:32196115], ITGB1 [CellTalkDB:32196115], ITGA3 [CellTalkDB:32196115], CD44 [NA], SV2A [NA], SV2B [NA], SV2C [NA], DAG1 [NA]
P10092	CALCB	14	ligand	extracellular, ligand, secreted	O60894, O60895, O60896, P07550, P13945, P16473, P30988, P32241, P41586, Q03431, Q16602, Q99678, Q9NQS5	ADCYAP1R1, ADRB2, ADRB3, CALCR, CALCRL, GPR20, GPR84, PTH1R, RAMP1, RAMP2, RAMP3, TSHR, VIPR1	CALCRL [Baccin2019:12196113;Baccin2019:12234182;Baccin2019:14668209;Baccin2019:3001670;Baccin2019:8626685;Baccin2019:9620797;CellTalkDB:12196113;Cellinker:12196113;Guide2Pharma:10347248;Guide2Pharma:11693189;Guide2Pharma:9620797;LRdb:12196113;connectomeDB2020:12196113;scConnect:10347248;scConnect:11693189;scConnect:9620797], RAMP2 [Baccin2019:16531504;CellTalkDB:26423127;Guide2Pharma:11693189;Guide2Pharma:9620797], RAMP3 [CellTalkDB:26423127;Guide2Pharma:10347248;Guide2Pharma:11693189;Guide2Pharma:15692146], CALCR [Baccin2019:10342886;Baccin2019:11023820;Baccin2019:11033437;Baccin2019:12565884;Baccin2019:14722252;Baccin2019:15692146;Baccin2019:2158663;Baccin2019:7588285;Baccin2019:9487987;CellTalkDB:15692146;Cellinker:15692146;Guide2Pharma:15692146;LRdb:15692146;connectomeDB2020:15692146;scConnect:15692146], RAMP1 [Baccin2019:12529937;Baccin2019:962079712234182;CellTalkDB:12529937;Guide2Pharma:11693189;Guide2Pharma:15692146;Guide2Pharma:9620797;HPMR:12529937;LRdb:12529937;connectomeDB2020:12529937], ADCYAP1R1 [CellTalkDB:32196115], TSHR [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], PTH1R [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], ADRB3 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115]
P04090	RLN2	12	ligand	extracellular, intracellular, ligand, secreted	O60895, O60896, P07550, P13945, P16473, P32241, P41586, Q03431, Q8WXD0, Q99678, Q9HBX9, Q9NQS5, Q9NSD7	ADCYAP1R1, ADRB2, ADRB3, GPR20, GPR84, PTH1R, RAMP2, RAMP3, RXFP1, RXFP2, RXFP3, TSHR, VIPR1	RXFP1 [CellTalkDB:11809971;Cellinker:11809971;Cellinker:12506116;Cellinker:15649866;Cellinker:22973049;Guide2Pharma:12506116;Guide2Pharma:15649866;Guide2Pharma:18434306;HPMR:11809971;HPRD:12506116;HPRD:15649866;LRdb:11809971;LRdb:12506116;LRdb:15649866;SIGNOR:11809971;connectomeDB2020:11809971;connectomeDB2020:12506116;connectomeDB2020:15649866;scConnect:12506116;scConnect:15649866;scConnect:18434306], RXFP2 [CellTalkDB:11809971;Cellinker:11809971;Cellinker:12506116;Cellinker:15649866;Cellinker:22973049;Guide2Pharma:15649866;Guide2Pharma:18434306;HPRD:12506116;HPRD:15649866;LRdb:11809971;LRdb:12506116;LRdb:15649866;SIGNOR:11809971;connectomeDB2020:11809971;connectomeDB2020:12506116;connectomeDB2020:15649866;scConnect:15649866;scConnect:18434306], ADCYAP1R1 [CellTalkDB:32196115], TSHR [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115], RAMP3 [CellTalkDB:32196115], RAMP2 [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], PTH1R [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], RXFP3 [CellTalkDB:32103204;connectomeDB2020:24641548;scConnect:20159943;scConnect:24641548], ADRB3 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115]
P98095	FBLN2	7	ecm, ligand	ecm, extracellular, ligand, secreted	P05106, P13611	ITGB3, VCAN	ITGB3 [CellTalkDB:10848816;Cellinker:10848816;HPRD:10848816;LRdb:10848816], VCAN [Cellinker:16045811;HPRD:11038354]
Q16627	CCL14	17	ligand	extracellular, intracellular, ligand, secreted	O00590, P32246, P51677, P51681, Q16570	ACKR1, ACKR2, CCR1, CCR3, CCR5	CCR1 [CellPhoneDB:24218476;CellTalkDB:24218476;Cellinker:11085751;Cellinker:12381680;Cellinker:20483925;Cellinker:9687537;DIP:9687537;Guide2Pharma:12381680;HPRD:11085751;ICELLNET:22633458;InnateDB:12381680;InnateDB:15905581;InnateDB:9346309;InnateDB:9548457;LRdb:9405404;connectomeDB2020:11085751;connectomeDB2020:12381680;connectomeDB2020:9687537;scConnect:12381680], CCR5 [CellTalkDB:11085751;Cellinker:11085751;Cellinker:12964882;Cellinker:16298345;Cellinker:20483925;Guide2Pharma:16298345;HPRD:11085751;ICELLNET:22633458;LRdb:11085751;LRdb:12964882;LRdb:16298345;connectomeDB2020:11085751;connectomeDB2020:12964882;connectomeDB2020:16298345;scConnect:16298345], ACKR1 [CellChatDB:26740381;CellTalkDB:9405404;Cellinker:26740381;Cellinker:29637711;ICELLNET:22633458;LRdb:9405404], ACKR2 [CellChatDB:26740381;CellPhoneDB:24218476;CellTalkDB:9660793;Cellinker:26740381;Cellinker:9405404;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:9660793;connectomeDB2020:9405404], CCR3 [CellPhoneDB:24218476;CellTalkDB:11085751;Cellinker:11085751;HPRD:11085751;InnateDB:9346309;InnateDB:9548457;LRdb:11085751;connectomeDB2020:11085751]
P60022	DEFB1	6	ligand	extracellular, intracellular, ligand, secreted	P51684	CCR6	CCR6 [CellTalkDB:20068036;HPRD:12149255;LRdb:20068036;LRdb:25122636;LRdb:25585877;connectomeDB2020:12149255]
P23560	BDNF	20	ligand	extracellular, intracellular, ligand, secreted, transmembrane, transmembrane_predicted	P04626, P08138, P20783, P21917, Q00994, Q08345, Q16620, Q8TDT2, Q99523, Q9Y624	BEX3, DDR1, DRD4, ERBB2, F11R, GPR152, NGFR, NTF3, NTRK2, SORT1	NTRK2 [AlzPathway:9775403;Baccin2019:76445409312147;BioGRID:21651720;BioGRID:9312147;CA1:1645620;CA1:9648856;CellChatDB:27908981;CellTalkDB:7644540;Cellinker:27908981;Cellinker:7644540;Cellinker:9312147;DIP:9312147;HPMR:7644540;HPRD:9312147;LRdb:7644540;LRdb:931;Lit-BM-17:11855816;Lit-BM-17:21651720;Lit-BM-17:9312147;ProtMapper:21849472;ProtMapper:26740873;ProtMapper:26899129;ProtMapper:28679669;SIGNOR:7679912;SignaLink3:23331499;SignaLink3:9312147;connectomeDB2020:7644540;connectomeDB2020:9312147], NGFR [AlzPathway:9775403;Cellinker:19908279;connectomeDB2020:25354496], DRD4 [CellTalkDB:32196115], SORT1 [Baccin2019:15987945;CellTalkDB:15987945;Cellinker:15987945;DIP:19122660;HPRD:15987945;LRdb:15987945;connectomeDB2020:15987945], BEX3 [CellTalkDB:10764727;HPMR:7644540;LRdb:7644540], DDR1 [NA], ERBB2 [Cellinker:28446206], F11R [NA], GPR152 [NA], NTF3 [BioGRID:7703225;DIP:7703225;HPRD:7703225]
P01213	PDYN	13	ligand	extracellular, intracellular, ligand, secreted	P08913, P35372, P41143, P41145, P41146, P48039, Q14831	ADRA2A, GRM7, MTNR1A, OPRD1, OPRK1, OPRL1, OPRM1	OPRD1 [Baccin2019:9686407;Cellinker:9686407;Guide2Pharma:9686407;LRdb:9686407;SIGNOR:9686407;connectomeDB2020:9686407;scConnect:9686407], OPRK1 [Baccin2019:1967312;Baccin2019:7624359;Baccin2019:7869844;Baccin2019:8170987;Baccin2019:9262330;Baccin2019:9686407;CellTalkDB:7869844;Cellinker:17503481;Cellinker:1967312;Cellinker:7624359;Cellinker:7869844;Cellinker:8170987;Cellinker:9262330;Cellinker:9686407;Guide2Pharma:1967312;Guide2Pharma:7624359;Guide2Pharma:7869844;Guide2Pharma:9262330;Guide2Pharma:9686407;LRdb:1967312;LRdb:7624359;LRdb:7869844;LRdb:8170987;LRdb:9262330;LRdb:9686407;SIGNOR:9262330;SIGNOR:9686407;connectomeDB2020:1967312;connectomeDB2020:7624359;connectomeDB2020:7869844;connectomeDB2020:8170987;connectomeDB2020:9262330;connectomeDB2020:9686407;scConnect:1967312;scConnect:7624359;scConnect:7869844;scConnect:9262330;scConnect:9686407], OPRM1 [Baccin2019:9686407;Cellinker:9686407;Guide2Pharma:9686407;LRdb:9686407;SIGNOR:9686407;connectomeDB2020:9686407;scConnect:9686407], ADRA2A [CellTalkDB:32196115], MTNR1A [CellTalkDB:32196115], GRM7 [CellTalkDB:32196115], OPRL1 [NA]
P02774	GC	1	ligand	extracellular, intracellular, ligand, secreted	P98164	LRP2	LRP2 [CellTalkDB:18194670;HPRD:11717447]
P04628	WNT1	17	adhesion, ecm, ligand	adhesion, ecm, extracellular, intracellular, ligand, matrix_adhesion, secreted	O00144, O60353, O75084, O75197, O75581, P16671, P34925, P46531, P48436, P52951, P56178, P78504, Q01974, Q02962, Q06710, Q13467, Q14332, Q14469, Q6ZQN5, Q9H461, Q9NPG1, Q9ULV1, Q9ULW2, Q9UP38	CD36, DLX5, FOXI2, FZD1, FZD1_LRP5, FZD1_LRP6, FZD10, FZD10_LRP5, FZD10_LRP6, FZD2, FZD2_LRP5, FZD2_LRP6, FZD3, FZD3_LRP5, FZD3_LRP6, FZD4, FZD4_LRP5, FZD4_LRP6, FZD5, FZD5_LRP5, FZD5_LRP6, FZD6, FZD6_LRP5, FZD6_LRP6, FZD7, FZD7_LRP5, FZD7_LRP6, FZD8, FZD8_LRP5, FZD8_LRP6, FZD9, FZD9_LRP5, FZD9_LRP6, GBX2, HES1, JAG1, LRP5, LRP6, NOTCH1, PAX2, PAX8, ROR2, RYK, SOX9	FOXI2 [SPIKE:18495817], JAG1 [SPIKE:18495817], NOTCH1 [SPIKE:18495817], DLX5 [SPIKE:18495817], GBX2 [SPIKE:18495817], PAX2 [SPIKE:18495817], PAX8 [SPIKE:18495817], HES1 [SPIKE:18495817], SOX9 [SPIKE:18495817], LRP6 [Baccin2019:11029007;Baccin2019:11448771;CancerCellMap:11029007;CancerCellMap:11448771;CellTalkDB:11029007;HPRD:11029007;HPRD:11448771;LRdb:11;LRdb:11029007;NetPath:11029007;ProtMapper:29444668;SIGNOR:21078818;SignaLink3:11029007;SignaLink3:11448771;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11029007;connectomeDB2020:11448771], RYK [Baccin2019:1545408415454080;CellTalkDB:15454084;Cellinker:15454084;HPMR:15454084;HPRD:15454084;LRdb:15454084;NetPath:15454084;SIGNOR:15454084;SignaLink3:15454084;SignaLink3:23331499;connectomeDB2020:15454084], FZD8 [Baccin2019:1545408415454080;CellTalkDB:15454084;HPMR:15454084;HPRD:15454084;LRdb:15454084;NetPath:15454084;SIGNOR:11448771;connectomeDB2020:15454084], FZD3 [Baccin2019:14642436;CellTalkDB:14642436;HPMR:14642436;LRdb:14642436;SIGNOR:15578921;connectomeDB2020:14642436], FZD6 [SIGNOR:22944199], LRP5 [Baccin2019:11336703;CellTalkDB:11336703;HPRD:11336703;LRdb:11336703;NetPath:11336703;SIGNOR:15578921;SIGNOR:21078818], FZD1 [CancerCellMap:10557084;CellPhoneDB:24032637;CellTalkDB:24032637;NetPath:10557084;SIGNOR:15578921;SIGNOR:16936075;SIGNOR:22944199;connectomeDB2020:24032637], ROR2 [CellTalkDB:15388793;NetPath:18762249;connectomeDB2020:15388793], FZD9 [Baccin2019:91476519147651;CellTalkDB:9147651;HPMR:9147651;HPRD:9147651;LRdb:9147651;connectomeDB2020:9147651], FZD5 [CellTalkDB:32196115], FZD7 [CellTalkDB:32196115], FZD10 [connectomeDB2020:24599775], FZD2 [connectomeDB2020:28733458], FZD4 [connectomeDB2020:28733458], CD36 [InnateDB:25721714]
P08949	NMB	14	ligand	extracellular, intracellular, ligand, secreted	P28336, P30550, P32247	BRS3, GRPR, NMBR	NMBR [Baccin2019:10454496;Baccin2019:10544247;Baccin2019:15169928;Baccin2019:7838118;Baccin2019:8253343;Baccin2019:8392057;CellTalkDB:10544247;Cellinker:10454496;Cellinker:10544247;Cellinker:15169928;Cellinker:7838118;Cellinker:8253343;Cellinker:8392057;Guide2Pharma:18055507;Guide2Pharma:21729729;Guide2Pharma:25976083;HPMR:15169928;HPRD:10544247;HPRD:8253343;HPRD:8392057;LRdb:10454496;LRdb:10544247;LRdb:15169928;LRdb:7838118;LRdb:8253343;LRdb:8392057;SIGNOR:11313903;connectomeDB2020:10454496;connectomeDB2020:10544247;connectomeDB2020:15169928;connectomeDB2020:7838118;connectomeDB2020:8253343;connectomeDB2020:8392057;scConnect:18055507;scConnect:21729729;scConnect:25976083], GRPR [Baccin2019:10454496;Baccin2019:1720612;Baccin2019:19463875;Baccin2019:21729729;Baccin2019:7838118;CellTalkDB:10454496;Cellinker:10454496;Cellinker:1720612;Cellinker:19463875;Cellinker:21729729;Cellinker:7838118;Guide2Pharma:10454496;Guide2Pharma:7838118;LRdb:10454496;LRdb:1720612;LRdb:19463875;LRdb:21729729;LRdb:7838118;connectomeDB2020:10454496;connectomeDB2020:1720612;connectomeDB2020:19463875;connectomeDB2020:21729729;connectomeDB2020:7838118;scConnect:10454496;scConnect:19463875;scConnect:21729729;scConnect:7838118], BRS3 [LRdb:9920658;Ramilowski2015:9920658;connectomeDB2020:9920658;talklr:9920658]
Q96RP3	UCN2	15	ligand	intracellular, ligand, secreted	P34998, Q08334, Q13324	CRHR1, CRHR2, IL10RB	CRHR1 [Baccin2019:15450949;CellTalkDB:15450949;Cellinker:15450949;Guide2Pharma:15450949;LRdb:15450949;connectomeDB2020:15450949;scConnect:15450949], CRHR2 [Baccin2019:11226328;Baccin2019:11329063;Baccin2019:11416224;Baccin2019:15450949;CellTalkDB:11329063;Cellinker:11226328;Cellinker:11329063;Cellinker:11416224;Cellinker:15450949;Guide2Pharma:15450949;HPRD:11226328;HPRD:11416224;LRdb:11226328;LRdb:11329063;LRdb:11416224;LRdb:15450949;connectomeDB2020:11226328;connectomeDB2020:11329063;connectomeDB2020:11416224;connectomeDB2020:15450949;scConnect:15450949], IL10RB [CellTalkDB:11416224;Cellinker:11416224;HPRD:11416224;LRdb:11416224;connectomeDB2020:11416224]
O95389	CCN6	5	ligand	intracellular, ligand, ligand_regulator, secreted	Q92673	SORL1	SORL1 [CellTalkDB:32103204]
P26583	HMGB2	1	ligand	extracellular, intracellular, ligand, secreted	P09086, P14859, P15918, Q03052	POU2F1, POU2F2, POU3F1, RAG1	POU2F2 [HPRD:7720710;Lit-BM-17:7720710;SIGNOR:7720710], POU2F1 [HPRD:7720710;SIGNOR:7720710], POU3F1 [HPRD:7720710;SIGNOR:7720710], RAG1 [HPRD:10490593]
P05305	EDN1	17	ligand	extracellular, intracellular, ligand, secreted	P23276, P24530, P25101, P42892, Q9HBW9	ADGRL4, ECE1, EDNRA, EDNRB, KEL	EDNRA [Baccin2019:6479761;Baccin2019:90829707;CellTalkDB:7647976;Cellinker:10770212;Cellinker:7647976;Cellinker:9082970;Guide2Pharma:7647976;HPMR:9082970;HPRD:10770212;ICELLNET:8440682;LRdb:10770212;LRdb:7647976;LRdb:9082970;Lit-BM-17:23597562;Lit-BM-17:7509919;SIGNOR:16597412;connectomeDB2020:10770212;connectomeDB2020:7647976;connectomeDB2020:9082970;scConnect:7647976], EDNRB [Baccin2019:12972292;CellTalkDB:12972292;Cellinker:12972292;HPRD:12972292;ICELLNET:8440682;LRdb:12972292;SIGNOR:16597412;connectomeDB2020:12972292], KEL [Baccin2019:10438732;CellTalkDB:10438732;Cellinker:10438732;HPRD:10438732;LRdb:10438732;connectomeDB2020:10438732], ADGRL4 [CellTalkDB:32196115], ECE1 [HPRD:10438732;HPRD:10620363;HPRD:9595387]
P16562	CRISP2	1	ligand, transporter	ion_channel, ligand, secreted, transporter	Q8NEC5	CATSPER1	CATSPER1 [CellTalkDB:30759213]
O14905	WNT9B	9	ecm, ligand	ecm, ligand, secreted	O75197, O75581, P02708, Q13467, Q9H461, Q9NPG1, Q9ULV1, Q9ULW2	CHRNA1, FZD1_LRP5, FZD1_LRP6, FZD10, FZD10_LRP5, FZD10_LRP6, FZD2_LRP5, FZD2_LRP6, FZD3, FZD3_LRP5, FZD3_LRP6, FZD4, FZD4_LRP5, FZD4_LRP6, FZD5, FZD5_LRP5, FZD5_LRP6, FZD6_LRP5, FZD6_LRP6, FZD7_LRP5, FZD7_LRP6, FZD8, FZD8_LRP5, FZD8_LRP6, FZD9_LRP5, FZD9_LRP6, LRP5, LRP6	LRP6 [CellTalkDB:20093360;NetPath:20093360;SIGNOR:20093360], LRP5 [Cellinker:23209147;SIGNOR:15578921], CHRNA1 [SIGNOR:22309736], FZD3 [SIGNOR:15578921], FZD10 [connectomeDB2020:28733458], FZD4 [connectomeDB2020:28733458], FZD5 [connectomeDB2020:25892522;connectomeDB2020:28733458;connectomeDB2020:30978219], FZD8 [connectomeDB2020:28733458]
P80098	CCL7	19	ligand	extracellular, intracellular, ligand, secreted	O00590, P32246, P41597, P46092, P49682, P51677, P51681, Q16570, Q9NPB9	ACKR1, ACKR2, ACKR4, CCR1, CCR10, CCR2, CCR3, CCR5, CXCR3	CCR1 [Baccin2019:11994538;Baccin2019:12381680;Baccin2019:7545673;Baccin2019:8530354;Baccin2019:9115216;CellPhoneDB:24218476;Cellinker:11994538;Cellinker:12381680;Cellinker:7545673;Cellinker:8530354;Cellinker:9115216;DIP:7545673;DIP:8530354;DIP:9336350;Guide2Pharma:11994538;Guide2Pharma:12381680;HPRD:7545673;HPRD:8530354;ICELLNET:22633458;InnateDB:12381680;InnateDB:7545673;InnateDB:8530354;LRdb:10699158;SIGNOR:14991608;connectomeDB2020:11994538;connectomeDB2020:12381680;connectomeDB2020:7545673;connectomeDB2020:8530354;connectomeDB2020:9115216;scConnect:11994538;scConnect:12381680], CCR2 [Baccin2019:12554737;Baccin2019:8530354;Baccin2019:9276730;Baccin2019:9346309;CellPhoneDB:24218476;Cellinker:12554737;Cellinker:8530354;Cellinker:9276730;Cellinker:9346309;DIP:8530354;DIP:9195948;DIP:9312096;DIP:9336350;Guide2Pharma:12554737;Guide2Pharma:9276730;Guide2Pharma:9346309;HPRD:8530354;ICELLNET:22633458;InnateDB:7759884;InnateDB:8530354;InnateDB:9115216;LRdb:10699158;connectomeDB2020:12554737;connectomeDB2020:8530354;connectomeDB2020:9276730;connectomeDB2020:9346309;scConnect:12554737;scConnect:9276730;scConnect:9346309], CCR3 [CellPhoneDB:24218476;Cellinker:8642344;DIP:10733106;Guide2Pharma:8642344;HPRD:8642344;ICELLNET:22633458;InnateDB:8642344;LRdb:10699158;connectomeDB2020:8642344;scConnect:8642344], CCR5 [Baccin2019:10477710;Baccin2019:16298345;CellPhoneDB:24218476;Cellinker:10477718;Cellinker:16298345;DIP:10477718;Guide2Pharma:16298345;HPRD:10477718;ICELLNET:10477718;ICELLNET:22633458;InnateDB:10477718;LRdb:10699158;connectomeDB2020:10477718;connectomeDB2020:16298345;scConnect:16298345], CXCR3 [Baccin2019:9660793;CellTalkDB:9660793;Cellinker:9660793;DIP:9660793;Guide2Pharma:9660793;LRdb:9660793;connectomeDB2020:9660793;scConnect:9660793], ACKR2 [CellChatDB:26740381;CellPhoneDB:24218476;Cellinker:26740381;Cellinker:9364936;Cellinker:9405404;HPRD:9364936;HPRD:9405404;ICELLNET:22633458;InnateDB:9405404;LRdb:10699158;connectomeDB2020:9364936;connectomeDB2020:9405404], ACKR4 [CellTalkDB:10734104;Cellinker:10734104;DIP:10734104;HPRD:10734104;HPRD:9364936;HPRD:9405404;InnateDB:10734104;LRdb:10734104;connectomeDB2020:10734104], CCR10 [Baccin2019:9364936;CellTalkDB:9364936;Cellinker:9364936;HPRD:9364936;LRdb:9364936;connectomeDB2020:10706668;connectomeDB2020:9364936], ACKR1 [Baccin2019:13679391;CellChatDB:26740381;Cellinker:13679391;Cellinker:26740381;HPRD:13679391;LRdb:10699158;LRdb:13679391;connectomeDB2020:13679391]
A0A2R8Y4Y8	OOSP4B	1	ligand	ligand, secreted	NA	NA	NA
P08700	IL3	19	ligand	extracellular, ligand, secreted	P15509, P26951, P32927, P42336	CSF2RA, CSF2RB, CSF2RB_IL3RA, IL3RA, PIK3CA	IL3RA [BioGRID:8649415;CellTalkDB:11700046;DIP:8649415;HPMR:11700046;HPRD:8649415;HPRD:9278420;InnateDB:7957082;LRdb:11700046;LRdb:8649415;LRdb:9278420;NetPath:9278420;SIGNOR:11700046;SIGNOR:1465408;SignaLink3:1465408;SignaLink3:23331499;connectomeDB2020:11700046;connectomeDB2020:8649415;connectomeDB2020:9278420], CSF2RB [CellTalkDB:11700046;DIP:7957082;HPMR:11700046;HPRD:9278420;LRdb:11700046;LRdb:93;Lit-BM-17:18692472;Lit-BM-17:7957082;Lit-BM-17:8649415;NetPath:9278420;connectomeDB2020:11700046;connectomeDB2020:9278420], CSF2RA [Cellinker:23046136], PIK3CA [HPRD:9113989]
Q9HCT0	FGF22	15	ligand	extracellular, intracellular, ligand, secreted, transmembrane, transmembrane_predicted	P11362, P21802, Q8N441	FGFR1, FGFR2, FGFRL1	FGFR2 [Baccin2019:12591959;CellTalkDB:16597617;Cellinker:12591959;Cellinker:16597617;Cellinker:25772309;LRdb:16597617;SignaLink3:23331499;SignaLink3:8663044;connectomeDB2020:12591959], FGFR1 [CellTalkDB:16597617;LRdb:16597617;connectomeDB2020:16597617], FGFRL1 [connectomeDB2020:19920134]
P04155	TFF1	4	ligand	extracellular, intracellular, ligand, secreted	P98088, Q96PJ5	FCRL4, MUC5AC	MUC5AC [CellTalkDB:15289936], FCRL4 [CellTalkDB:32103204;Lit-BM-17:21982860]
Q9HCQ7	NPVF	13	ligand	extracellular, ligand, secreted	Q9GZQ6, Q9Y5X5	NPFFR1, NPFFR2	NPFFR1 [CellChatDB:29106375;CellTalkDB:11024015;Cellinker:11024015;Cellinker:12242085;Cellinker:12421602;Cellinker:17337079;Cellinker:29106375;Guide2Pharma:12242085;Guide2Pharma:12421602;Guide2Pharma:17337079;HPMR:11024015;LRdb:11024015;LRdb:12242085;LRdb:12421602;LRdb:17337079;connectomeDB2020:11024015;connectomeDB2020:12242085;connectomeDB2020:12421602;connectomeDB2020:17337079;scConnect:12242085;scConnect:12421602;scConnect:17337079], NPFFR2 [Baccin2019:12242085;Baccin2019:12421602;CellChatDB:29106375;CellTalkDB:12242085;Cellinker:12242085;Cellinker:12421602;Cellinker:29106375;LRdb:12;LRdb:12242085;connectomeDB2020:12242085;connectomeDB2020:12421602;scConnect:12242085;scConnect:12421602]
P41161	ETV5	1	ligand	intracellular, ligand, secreted	P04626	ERBB2	ERBB2 [Cellinker:27029001]
Q96T91	GPHA2	10	adhesion, ligand	adhesion, cell_adhesion, ligand, plasma_membrane, secreted	P16473, Q8WXG9, Q9UF33	ADGRV1, EPHA6, TSHR	TSHR [Baccin2019:12045258;CellTalkDB:12045258;Cellinker:12045258;LRdb:12045258;SIGNOR:12045258;connectomeDB2020:12045258], EPHA6 [CellTalkDB:32103204], ADGRV1 [NA]
Q5T7M4	C1QTNF12	3	ligand	intracellular, ligand, secreted	NA	NA	NA
O75094	SLIT3	9	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	Q8WZ75, Q9HCK4, Q9Y6N7	ROBO1, ROBO2, ROBO4	ROBO2 [Baccin2019:11754167;CellTalkDB:11754167;Cellinker:11754167;HPRD:11754167;LRdb:11754167;connectomeDB2020:31180321], ROBO1 [CellTalkDB:30288875;connectomeDB2020:19741192], ROBO4 [Cellinker:30288875;connectomeDB2020:19741192]
P0DMC3	APELA	9	ligand	intracellular, ligand, secreted	P35414	APLNR	APLNR [CellChatDB:25995451;CellTalkDB:28663440;Cellinker:25995451;Cellinker:29079036;Cellinker:29357134;Guide2Pharma:25995451;connectomeDB2020:25639753;connectomeDB2020:26611206;connectomeDB2020:28137936;scConnect:25995451]
Q96JP5	ZFP91	1	ligand	intracellular, ligand, secreted	Q99558	MAP3K14	MAP3K14 [SIGNOR:20682767]
Q8NAU1	FNDC5	3	ligand	cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, secreted, transmembrane, transmembrane_predicted	P06756, P18084	ITGAV, ITGB5	ITGAV [connectomeDB2020:30550785], ITGB5 [connectomeDB2020:30550785]
Q13046	PSG7	2	ligand	ligand, secreted	O60469, P22455, P43146, Q9UMR7	CLEC4A, DCC, DSCAM, FGFR4	FGFR4 [Cellinker:32822567], DSCAM [Cellinker:32822567], DCC [Cellinker:32822567], CLEC4A [Cellinker:32822567]
